Date,BKH,ED,FRT,GPC,KO,MO,MSEX,NFG,NWN,PEP
2020-01-02,63.99837112426758,74.5837173461914,102.50515747070312,92.03226470947266,47.09473419189453,32.707855224609375,57.60652160644531,37.79102325439453,59.95270919799805,117.63422393798828
2020-01-03,63.756248474121094,74.3906478881836,103.20881652832031,90.72758483886719,46.837799072265625,32.960227966308594,57.634300231933594,38.10280227661133,60.19688034057617,117.46968078613281
2020-01-06,63.781288146972656,74.14724731445312,104.42796325683594,88.80533599853516,46.8206787109375,33.09306335449219,56.791786193847656,38.524105072021484,59.7655143737793,117.92000579833984
2020-01-07,63.622657775878906,73.58489990234375,102.56243896484375,88.46611785888672,46.46097946166992,32.92038345336914,56.43069076538086,38.36399841308594,59.1143798828125,116.06658172607422
2020-01-08,63.53082275390625,72.99735260009766,102.90607452392578,88.21389770507812,46.546627044677734,33.25908279418945,56.754737854003906,37.93427276611328,58.894622802734375,116.6641845703125
2020-01-09,64.17372131347656,72.92182922363281,102.104248046875,87.6833267211914,47.39447784423828,33.584495544433594,56.87510299682617,37.87529373168945,57.90979766845703,116.74213409423828
2020-01-10,64.67469024658203,73.433837890625,103.02880859375,86.02202606201172,47.557193756103516,33.3520622253418,56.791786193847656,37.858436584472656,58.04815673828125,116.51693725585938
2020-01-13,65.62651824951172,73.68563842773438,103.77337646484375,86.71784973144531,48.07106018066406,33.7106819152832,58.013912200927734,37.78260040283203,58.780677795410156,118.24913024902344
2020-01-14,65.70166778564453,73.67723846435547,104.46067810058594,86.97879028320312,47.959716796875,33.78373336791992,57.59727096557617,37.78260040283203,58.64231872558594,118.52629852294922
2020-01-15,66.81212615966797,74.66764831542969,104.88614654541016,86.36994934082031,48.55921936035156,34.036102294921875,58.58793640136719,38.15335464477539,59.69225311279297,120.56163787841797
2020-01-16,67.71388244628906,74.84391021728516,105.76162719726562,88.35306549072266,48.661991119384766,33.929847717285156,59.967445373535156,38.22076416015625,59.40739822387695,120.91675567626953
2020-01-17,67.65542602539062,75.74198913574219,105.9825439453125,89.41419982910156,48.76476287841797,33.88335418701172,61.226619720458984,38.330299377441406,59.928287506103516,122.3458251953125
2020-01-21,68.006103515625,76.23721313476562,107.08712768554688,88.21389770507812,48.961734771728516,33.929847717285156,61.6062126159668,37.79102325439453,60.70150375366211,122.8655014038086
2020-01-22,68.51541900634766,76.51420593261719,106.84164428710938,87.16146087646484,49.33856201171875,33.8900032043457,61.79137420654297,37.15907287597656,61.01080322265625,124.18197631835938
2020-01-23,68.95793151855469,77.86553955078125,107.24259185791016,87.12666320800781,49.526981353759766,33.57786560058594,61.75433349609375,37.34445571899414,61.954933166503906,124.41581726074219
2020-01-24,68.85775756835938,78.5705795288086,106.21165466308594,85.30009460449219,49.398521423339844,33.371971130371094,61.0044059753418,36.493412017822266,61.22241973876953,123.78355407714844
2020-01-27,68.85775756835938,78.40270233154297,104.10066986083984,83.6388168334961,49.22722625732422,33.05321502685547,61.0784797668457,35.91200637817383,61.45029830932617,123.10801696777344
2020-01-28,69.17503356933594,79.04899597167969,104.10066986083984,84.00411224365234,48.8247184753418,33.31884765625,61.38400650024414,36.05525588989258,61.51542282104492,123.36783599853516
2020-01-29,69.48395538330078,79.2672348022461,103.13518524169922,84.50859069824219,48.8247184753418,33.27901077270508,61.911739349365234,35.66765213012695,60.80731964111328,122.75286102294922
2020-01-30,69.95988464355469,79.5190200805664,102.63607025146484,84.26506042480469,50.40909194946289,31.877716064453125,61.948787689208984,35.38117218017578,60.66642379760742,124.57171630859375
2020-01-31,69.32533264160156,78.89791870117188,102.29241943359375,81.38606262207031,50.0151481628418,31.56557846069336,60.421119689941406,36.39229202270508,60.1093864440918,123.00405883789062
2020-02-03,69.7678451538086,78.77202606201172,102.33334350585938,82.02100372314453,50.169307708740234,30.722150802612305,61.51362228393555,35.78561782836914,61.510135650634766,123.42842102050781
2020-02-04,69.32533264160156,77.67247772216797,104.13339233398438,82.96907043457031,50.3919677734375,30.89481544494629,61.63398361206055,36.45128631591797,61.477386474609375,124.04338073730469
2020-02-05,70.17694854736328,78.39432525634766,104.81250762939453,85.2566146850586,50.40053176879883,30.735422134399414,62.45798873901367,37.504547119140625,61.20707702636719,124.97877502441406
2020-02-06,70.32723999023438,78.45306396484375,105.27069854736328,83.63011169433594,50.52042770385742,30.987794876098633,62.930171966552734,36.417579650878906,60.77291488647461,125.00475311279297
2020-02-07,70.06007385253906,77.87391662597656,104.7470474243164,82.96038055419922,50.69171905517578,30.69558334350586,63.096839904785156,35.92886734008789,60.36333084106445,125.90553283691406
2020-02-10,70.52762603759766,78.12572479248047,104.7061538696289,82.75161743164062,51.17131423950195,30.682300567626953,63.624576568603516,35.62551498413086,60.502601623535156,126.15668487548828
2020-02-11,70.602783203125,78.20964813232422,101.45784759521484,83.2474136352539,51.03428268432617,30.26390838623047,62.68946838378906,35.96257019042969,60.76472473144531,126.52045440673828
2020-02-12,70.0350112915039,77.949462890625,101.32695770263672,83.97801971435547,50.880130767822266,30.1510066986084,63.087581634521484,36.12266159057617,60.87941360473633,126.52045440673828
2020-02-13,71.3080825805664,78.59574890136719,102.15333557128906,84.33462524414062,51.051414489746094,30.31702995300293,64.53365325927734,36.35017013549805,61.91154098510742,126.85821533203125
2020-02-14,71.7198257446289,79.14972686767578,104.10066986083984,83.90845489501953,51.342594146728516,29.998262405395508,64.36634063720703,36.45128631591797,62.5095100402832,127.30859375
