Date,AAPL,AMZN,MSFT,NVDA,TSLA
2024-01-02,184.7349853515625,149.92999267578125,368.1172790527344,48.15434646606445,248.4199981689453
2024-01-03,183.3517608642578,148.47000122070312,367.8492431640625,47.555519104003906,238.4499969482422
2024-01-04,181.02317810058594,144.57000732421875,365.208984375,47.984397888183594,237.92999267578125
2024-01-05,180.2967071533203,145.24000549316406,365.0203857421875,49.08308029174805,237.49000549316406
2024-01-08,184.65536499023438,149.10000610351562,371.908935546875,52.238189697265625,240.4499969482422
2024-01-09,184.23741149902344,151.3699951171875,373.0007629394531,53.12493896484375,234.9600067138672
2024-01-10,185.2823028564453,153.72999572753906,379.9289245605469,54.334598541259766,233.94000244140625
2024-01-11,184.68519592285156,155.17999267578125,381.775146484375,54.806461334228516,227.22000122070312
2024-01-12,185.0135955810547,154.6199951171875,385.5866394042969,54.694488525390625,218.88999938964844
2024-01-16,182.7347869873047,153.16000366210938,387.37322998046875,56.36602020263672,219.91000366210938
2024-01-17,181.78939819335938,151.7100067138672,386.5792236328125,56.037113189697266,215.5500030517578
2024-01-18,187.71041870117188,153.5,390.946533203125,57.09081268310547,211.8800048828125
2024-01-19,190.62611389160156,155.33999633789062,395.7109375,59.47414016723633,212.19000244140625
2024-01-22,192.9447479248047,154.77999877929688,393.56695556640625,59.6370964050293,208.8000030517578
2024-01-23,194.22845458984375,156.02000427246094,395.939208984375,59.85603332519531,209.13999938964844
2024-01-24,193.55177307128906,156.8699951171875,399.5720520019531,61.344608306884766,207.8300018310547
2024-01-25,193.223388671875,157.75,401.8648681640625,61.59953308105469,182.6300048828125
2024-01-26,191.48191833496094,159.1199951171875,400.9318542480469,61.013702392578125,183.25
2024-01-29,190.7952880859375,161.25999450683594,406.67889404296875,62.447296142578125,190.92999267578125
2024-01-30,187.12327575683594,159.0,405.5572814941406,62.756202697753906,191.58999633789062
2024-01-31,183.5010223388672,155.1999969482422,394.6290283203125,61.509559631347656,187.2899932861328
2024-02-01,185.94903564453125,159.27999877929688,400.7829895019531,63.00913619995117,188.86000061035156
2024-02-02,184.94395446777344,171.80999755859375,408.1677551269531,66.14125061035156,187.91000366210938
2024-02-05,186.76502990722656,170.30999755859375,402.63909912109375,69.3123550415039,181.05999755859375
2024-02-06,188.37713623046875,169.14999389648438,402.48028564453125,68.20366668701172,185.10000610351562
2024-02-07,188.4866180419922,170.52999877929688,410.97674560546875,70.0791244506836,187.5800018310547
2024-02-08,187.40191650390625,169.83999633789062,411.03631591796875,69.62125396728516,189.55999755859375
2024-02-09,188.16912841796875,174.4499969482422,417.4284973144531,72.11255645751953,193.57000732421875
2024-02-12,186.4752655029297,172.33999633789062,412.1777648925781,72.22752380371094,188.1300048828125
2024-02-13,184.37286376953125,168.63999938964844,403.30413818359375,72.10755157470703,184.02000427246094
2024-02-14,183.48606872558594,170.97999572753906,407.20220947265625,73.87905883789062,188.7100067138672
2024-02-15,183.19712829589844,169.8000030517578,404.2886047363281,72.63740539550781,200.4499969482422
2024-02-16,181.65269470214844,169.50999450683594,401.80255126953125,72.59241485595703,199.9499969482422
2024-02-20,180.90541076660156,167.0800018310547,400.5396728515625,69.43231201171875,193.75999450683594
2024-02-21,181.66268920898438,168.58999633789062,399.93304443359375,67.452880859375,194.77000427246094
2024-02-22,183.70529174804688,174.5800018310547,409.3501281738281,78.51573944091797,197.41000366210938
2024-02-23,181.86195373535156,174.99000549316406,408.0474853515625,78.7946548461914,191.97000122070312
2024-02-26,180.50685119628906,174.72999572753906,405.2631530761719,79.06958770751953,199.39999389648438
2024-02-27,181.9715576171875,173.5399932861328,405.2034606933594,78.6786880493164,199.72999572753906
2024-02-28,180.76593017578125,173.16000366210938,405.4421081542969,77.6409912109375,202.0399932861328
2024-02-29,180.0983428955078,176.75999450683594,411.32904052734375,79.0895767211914,201.8800048828125
2024-03-01,179.01226806640625,178.22000122070312,413.17864990234375,82.25567626953125,202.63999938964844
2024-03-04,174.46871948242188,177.5800018310547,412.6019287109375,85.21283721923828,188.13999938964844
2024-03-05,169.50665283203125,174.1199951171875,400.4004211425781,85.94366455078125,180.74000549316406
2024-03-06,168.51025390625,173.50999450683594,399.84356689453125,88.67901611328125,176.5399932861328
2024-03-07,168.39068603515625,176.82000732421875,406.8542175292969,92.6470718383789,178.64999389648438
2024-03-08,170.1144561767578,175.35000610351562,403.95050048828125,87.5073013305664,175.33999633789062
2024-03-11,172.12718200683594,171.9600067138672,402.2599792480469,85.75370788574219,177.77000427246094
2024-03-12,172.60543823242188,175.38999938964844,412.9598693847656,91.8912582397461,177.5399932861328
2024-03-13,170.51303100585938,176.55999755859375,412.7809143066406,90.86650085449219,169.47999572753906
2024-03-14,172.37628173828125,178.75,422.8443603515625,87.9231948852539,162.5
2024-03-15,171.9976348876953,174.4199981689453,414.0935363769531,87.81621551513672,163.57000732421875
2024-03-18,173.09368896484375,174.47999572753906,414.9884948730469,88.43407440185547,173.8000030517578
2024-03-19,175.44517517089844,175.89999389648438,419.0556640625,89.37686157226562,171.32000732421875
2024-03-20,178.0258331298828,178.14999389648438,422.85430908203125,90.35062408447266,175.66000366210938
2024-03-21,170.75213623046875,178.14999389648438,426.9711608886719,91.41336822509766,172.82000732421875
2024-03-22,171.65887451171875,178.8699951171875,426.3446960449219,94.2667007446289,170.8300018310547
2024-03-25,170.23403930664062,179.7100067138672,420.4975280761719,94.97952270507812,172.6300048828125
2024-03-26,169.09814453125,178.3000030517578,419.2942810058594,92.53910064697266,177.6699981689453
